k,p,accuracy,time
69,7,80.20833333333334,0.21991634368896484
69,8,80.41666666666667,0.21046686172485352
69,9,80.41666666666667,0.2507774829864502
69,10,80.41666666666667,0.22100329399108887
70,1,79.58333333333333,0.15697836875915527
70,2,79.16666666666666,0.20067143440246582
70,3,79.58333333333333,0.25020623207092285
70,4,79.58333333333333,0.2336735725402832
70,5,79.79166666666667,0.26787233352661133
70,6,79.79166666666667,0.2679564952850342
70,7,79.79166666666667,0.26532864570617676
70,8,79.79166666666667,0.23187637329101562
70,9,80.0,0.2769906520843506
70,10,80.0,0.29792308807373047
71,1,79.58333333333333,0.1798086166381836
71,2,80.20833333333334,0.19900870323181152
71,3,80.20833333333334,0.22009754180908203
71,4,80.0,0.21901392936706543
71,5,80.0,0.23768186569213867
71,6,80.20833333333334,0.22324228286743164
71,7,80.20833333333334,0.2126009464263916
71,8,80.0,0.25034093856811523
71,9,80.20833333333334,0.21888136863708496
71,10,80.20833333333334,0.21017169952392578
